Anther	Ear	Early prophase meiocytes	Embryo	Endosperm	Leaf	Pollen	Root	Seed	Shoot apical meristem	Stalk	Silk	Tassel	Vegetative apex
zma-MIR171i	29.767091	425.829506666667	75.15292	864.090158333333	29111.8226233333	84.9189762142857	157.145345	10.7091245	154.34837	4.820145	16.4702666666667	962.21675	1041.794776	34.3682
zma-MIR172_N1	0	0	0	0	0	0.124076714285714	0.433221666666667	96.0442285	0	0	0	0.771516	0	0
zma-MIR2275c	3708.186336	0	1898.641528	0	0	0.0130282857142857	0	0	0	0.21907	0	0	0	0
zma-MIR393a	5.613075	9.80611533333333	5.41899	57.0594978333333	1093.68788333333	137.393837035714	3.25417166666667	24.63095625	18.29158	4.138295	26.691741	50.729936	42.811102	0
zma-MIR393b	4.266954	2.48593833333333	3.921635	21.3552183333333	378.552633333333	47.9131165357143	3.16203833333333	12.21878625	3.4939	1.470485	2.39462666666667	9.939428	10.152984	0
zma-MIR393c	5.613075	9.80611533333333	5.41899	57.0594978333333	1093.68788333333	137.387322892857	3.25417166666667	24.63095625	18.29158	4.138295	26.691741	50.498482	42.811102	0
zma-MIR399a	0	1.26194333333333	0	0	1.19727	56.4410238928571	0	6.3588575	0	9.669735	0	4.568174	3.631216	0.47275
zma-MIR399b	18.10916	0	11.1232	0.202111666666667	0	97.8301896428571	4.81550833333333	0	0	14.9640035	0	0	0	0
zma-MIR399c	0	1.38820066666667	0	0	1.19727	299.975615678571	0	6.3588575	1.23314	10.5833075	0	4.836186	4.536788	0.47275
zma-MIR399d	0.35558	0	0	0	0	47.0017171428571	1.47027	0	0	11.8141835	0	0	0	0
zma-MIR399e	3.555796	7.863739	0.926933	0.831533333333333	0	533.412185178571	0	1.4781975	0	160.6896975	0.90094	23.688044	22.444802	2.80699
zma-MIR399f	0	0	0	2.03122666666667	0	16.9768266071429	4.22206666666667	0	0	0.761255	0	1.571514	0	0
zma-MIR399j	3.555796	7.863739	0.926933	0.831533333333333	0	537.10952075	0	1.554747	0	160.4737125	0.90094	23.688044	25.829856	3.347275
zma-MIR827	142.206543	306.766243333333	135.475035	3393.614018	17749.7391966667	2899.28992964286	4.1156	44.145917	336.23602	48.1159975	28.6727493333333	1287.238206	111.556892	85.771325
zma-MIR_N195a	2.692244	0	0.499118	0	10.805	2.42050228571429	0	0	0	0	0	0	0	0
zma-MIR_N196a	0.253986	0.65797	0	0.936738333333333	29.9121	0.91689125	3.11589833333333	0.26792325	3.08285	0	0	0.45945	1.118266	0
zma-MIR2275_N2	1054.141788	0	161.072138	0	0	0	0.918178333333333	0	0	0	0	0	0	0
zma-MIR_N17c	0	0	0	0	0	0	175.646461666667	0	0	0	0	2.182384	0.36237	0
zma-MIR_N77a	0.812754	0.269356666666667	0.713025	0	0	1.670426	0.456416666666667	1.93925525	40.89916	0	0	9.923444	0	0
zma-MIR_N83a	0	0	0	0	0	25.4161197857143	0	11.35705625	0	0	0	0	4.028904	0
zma-MIR_N14a	579.697003	46.8662136666667	207.062262	0	0	0	0	0	0	8.9749075	3.41948	0	36.788984	3.69045
zma-MIR_N14b	579.697003	46.8662136666667	207.062262	0	0	0	0	0	0	8.9749075	3.41948	0	36.788984	3.69045
zma-MIR_N14c	579.697003	46.8662136666667	207.062262	0	0	0	0	0	0	8.9749075	3.41948	0	36.788984	3.69045
zma-MIR_N23b	0	0	0	0	0	0	17.7735466666667	0	0	0	0	0	0	0
zma-MIR_N23a	0	0	0	0	0	0	17.7735466666667	0	0	0	0	0	0	0
zma-MIR_N124a	1.62551	0	0	0.609215	20.0984633333333	0.869394142857143	0	0	0	0	0	0	0	0
zma-MIR_N129a	0.761956	0	0.926933	1.269825	23.6796766666667	1.09074157142857	0	0	0	0	0	0	0	1.28318
zma-MIR_N205a	91.942793	0	3.13731	0	0	0	0	0	0	0.907078	0	0	0	0
zma-MIR_N208a	13.435839	0	5.418991	0	2.01272	1.45739628571429	0	0	0	0.676024	0	0	0	0.60782
zma-MIR_N159a	2.768445	0	0.998236	0.761945	25.0525966666667	0.3443	4.04468	0	0	0	0.467796666666667	0.805766	0.648404	0.877964
zma-MIR_N180a	0	0	0	0.269481666666667	19.4541733333333	0	0	0	1.23314	0	0	0	0	0
zma-MIR_N174a	0.17779	0	0.57042	0.606335	17.20805	1.45377464285714	0	0	0	0	0	0	0	0
zma-MIR_N176a	0	0	0	0	10.4276	0.0303993214285714	0	0	0	0	0	0	0	0
zma-MIR_N178a	0	0	0	0	20.8372333333333	0	0	0	0	0	0	0	0	0
zma-MIR169q	0.609565	0	0.499118	0.533453333333333	0	105.73853925	0	0.11482425	0	1.4944555	0.911697666666667	0.27003	0.36237	0
zma-MIR171b	30.071874	430.092756666667	75.15292	864.090158333333	29111.4386933333	85.2646685	126.83302	10.0201795	154.34837	5.0943175	21.4186	970.16829	1076.902736	37.45083
zma-MIR171b1	30.071874	430.092756666667	75.15292	864.090158333333	29111.4386933333	85.2646685	126.83302	10.0201795	154.34837	5.0943175	21.4186	970.16829	1076.902736	37.45083
zma-MIR171j	30.071874	430.092756666667	75.15292	876.044085	29412.9991466667	85.1907461428571	126.83302	10.0201795	154.34837	5.0943175	21.4186	969.711724	1077.291778	37.45083
zma-MIR399i	3.555796	7.863739	0.926933	0.831533333333333	0	519.383966535714	0	1.4781975	0	158.4305725	0.90094	23.113732	22.444802	2.80699
zma-MIR399_N1	0	0	0	0	0	14.0875810714286	0.259933333333333	0	0	7.6611585	0	0	0	0
zma-MIR399_N2	0	0	0	0	0	14.0875810714286	0.259933333333333	0	0	7.6611585	0	0	0	0
zma-MIR_N50a	107.689869	0	14.47442	0	0	0	1.10854833333333	0	0	0	0	0	7.5444	0
zma-MIR_N56a	58.569078	0	132.979178	0	0	0	0	0	0	0	0	0	0.652322	0
zma-MIR_N58a	14.731178	0	43.851076	0	0	0	0	0	0	0	0	0	0	0
zma-MIR_N47a	0	0	0	0	0	0	0	43.0186675	0	0	0	0	0	0
zma-MIR_N57a	0.584167	0	0	0	14.50625	0.00977121428571429	0	0	5.13808	0	0	0	0	0
zma-MIR_N13c	0	0	0	0	0.639883333333333	0	20.8509916666667	0	0	0	0	1.956408	0	0
zma-MIR_N13a	0	0	0	0	0.639883333333333	0	20.8509916666667	0	0	0	0	1.956408	0	0
zma-MIR_N13b	0	0	0	0	0.639883333333333	0	20.8509916666667	0	0	0	0	1.956408	0	0
zma-MIR_N69a	0.279384	0	0	0.982108333333333	25.7433066666667	3.08995485714286	0	0.5230885	1.64419	0	0.280678333333333	0	0	0
zma-MIR_N70a	0	2.23180833333333	0	0	0	1.20961589285714	0	1.2963675	73.57734	0	0	0	0	0
zma-MIR_N75a	1549.972449	0	711.314944	0	0	0	107.432873333333	0	0	0	0	0	3.868404	0
zma-MIR_N79a	176.494833	0	819.19542	0	0	0.0195424285714286	0	0.102066	0	0	0	0	0	0
zma-MIR_N71a	0	0	0	0	0	0	0	0	19.73023	0	0	0	0	0
zma-MIR_N15b	0.17779	0	1.711265	0	0	82.5809730357143	0	0	0	0	0.296285	0	3.808526	0
zma-MIR_N15c	0.17779	0	1.711265	0	0	82.5809730357143	0	0	0	0	0.296285	0	3.808526	0
zma-MIR_N15a	0.17779	0	1.711265	0	0	82.5809730357143	0	0	0	0	0.296285	0	3.808526	0
zma-MIR_N11b	0.35558	0	1.14084	0	0	0.268796142857143	8.38738166666667	0.8037695	0	0	0	0.229724	15.515616	0
zma-MIR_N116a	0	0	0	0	0	0	17.445275	0	0	0	0	0.421162	0	0
zma-MIR_N136a	0	0	0	0	0	0	32.3095966666667	0	0	0	0	0	2.857116	0
zma-MIR_N142a	0	0	0	0	0	0	10.4002233333333	0	0	0	0	0	0	0
zma-MIR_N143a	0.152391	1.12400333333333	0	0	0	0.00651414285714286	19.48831	0	0	0	1.53335	3.8465	91.26105	2.701425
zma-MIR_N131a	0	0	0	3.42238333333333	24.7011566666667	0	0	0	0	0	0	0	0	0
zma-MIR_N17a	0	0	0	0	1.87646	0.235752964285714	35.1332566666667	0.102066	0	0	0	1.459536	0	0
zma-MIR_N144a	0.203188	0	0	1.02304666666667	16.0781633333333	0.461257857142857	0	0	0	0	0	0.88407	0	0
zma-MIR_N156a	0	0	0	0	13.8145533333333	0	0	0	0	0	0	0	0	0
zma-MIR_N28b	0	0	0	0.1705	2.53595	0.358595714285714	14.7372683333333	0	0	0	0	0	7.404662	0
zma-MIR_N28a	0	0	0	0.1705	2.53595	0.358595714285714	14.7372683333333	0	0	0	0	0	7.404662	0
zma-MIR_N25a	0	2.77052333333333	0	0	0	0.506035714285714	0	4.10515	122.28644	0	0.280678333333333	0	3.545508	0
zma-MIR_N25b	0	2.77052333333333	0	0	0	0.506035714285714	0	4.10515	122.28644	0	0.280678333333333	0	3.545508	0
zma-MIR_N203a	31.037	3.78333333333333	106.525593	0	0	0	0	0	0	0	0	0	5.77772	0
zma-MIR_N43a	0.330181	0	0	0	18.63068	0	0	0	0	0	0	0	1.210354	2.069595
zma-MIR_N185a	1.904887	0	3.493826	0.845983333333333	0.38393	0.478978892857143	18.4219566666667	0.0765495	0	1.7508195	0	0	0	0
zma-MIR_N187a	0	0	0	0	0	41.8525942857143	0	0	0	0	0	0	5.814852	0
zma-MIR_N191a	0	0	0	0	0	0	11.2686033333333	0	0	0	0	0	0	0
zma-MIR_N199a	2.08268	0	0.855631	1.84034166666667	12.71477	0.3749185	0	0.0765495	0	0	0	0	0	0
zma-MIR_N183a	20.268034	0	150.87616	0	0	0	0	0	0	0	0	0	0	0
zma-MIR_N193a	1.87949	0	2.923408	1.33048666666667	26.1959666666667	3.18558439285714	0	0.16585725	0	0.6667845	0	0	0	0
zma-MIR159h	73.808154	0.648531666666667	75.295479	1.26338333333333	3.91402666666667	1.31404678571429	348.145858333333	2.5595075	0	0	0.911697666666667	14.505574	10.53966	7.768615
zma-MIR159i	73.808154	0.648531666666667	75.295479	1.26338333333333	3.91402666666667	1.31404678571429	348.145858333333	2.5595075	0	0	0.911697666666667	14.505574	10.53966	7.768615
zma-MIR164b	8.68631	102.378736666667	4.63467	45.14987	41.1321333333333	241.35304025	3.682385	280.24794225	264.30292	3.294555	44.370256	3298.821812	149.126272	205.888014
