type_out	add5	sub5	add3	sub3	nt_add3	seed_snp	tail_snp
zma-MIR399j	TEs	3	3	2	6	2	31	8
zma-MIR160_N1	TEs	3	3	3	7	3	46	9
zma-MIR_N79a	UIs	4	1	2	2	0	7	1
zma-MIR_N17b	PCGs	1	2	2	1	0	0	0
zma-MIR_N110a	UIs	0	6	4	1	0	0	0
zma-MIR169_N2	UIs	4	6	6	7	2	29	8
zma-MIR169h	UIs	5	6	6	7	2	29	8
zma-MIR_N24a	TEs	9	7	14	7	0	0	0
zma-MIR156l	UIs	7	5	4	6	8	94	51
zma-MIR171f	UIs	2	7	3	5	3	62	24
zma-MIR_N139a	UIs	6	6	7	7	2	37	1
zma-MIR_N117a	UIs	3	3	4	0	0	0	0
zma-MIR_N118a	UIs	0	2	1	0	0	0	0
zma-MIR_N201a	UIs	0	0	2	1	0	0	1
zma-MIR_N28b	UIs	7	2	3	6	0	2	1
zma-MIR156d	UIs	12	9	5	17	11	63	220
zma-MIR_N106a	UIs	0	0	0	0	0	2	0
zma-MIR_N6e	UIs	2	1	3	2	0	0	0
zma-MIR319b	PCGs	12	10	9	16	7	73	148
zma-MIR_N1j	UIs	7	0	2	5	0	1	3
zma-MIR_N175a	PCGs	3	1	1	2	0	0	0
zma-MIR_N24b	TEs	9	7	14	7	0	0	0
zma-MIR_N87a	PCGs	0	0	1	1	2	1	3
zma-MIR_N43a	UIs	1	1	0	0	0	0	0
zma-MIR_N18a	TEs	6	0	2	1	0	2	2
zma-MIR_N13b	PCGs	0	0	0	0	0	0	0
zma-MIR_N133a	PCGs	0	1	1	0	0	0	0
zma-MIR_N47a	PCGs	7	2	4	8	0	0	2
zma-MIR_N198a	UIs	0	0	0	0	0	0	2
zma-MIR319a	UIs	4	8	5	9	2	63	127
zma-MIR166b	UIs	16	7	9	15	2	97	124
zma-MIR_N30b	PCGs	6	2	4	2	0	1	0
zma-MIR_N6c	TEs	2	1	3	2	0	0	0
zma-MIR_N32b	PCGs	1	1	1	1	0	0	0
zma-MIR160d	UIs	3	3	1	5	2	46	9
zma-MIR399f	UIs	0	1	0	1	1	1	0
zma-MIR_N1i	TEs	7	0	2	5	0	1	3
zma-MIR166g	UIs	9	8	10	11	1	63	115
zma-MIR167j	TEs	8	12	7	16	2	70	70
zma-MIR_N128a	PCGs	1	2	1	4	1	1	1
zma-MIR_N126a	UIs	1	1	2	0	0	0	0
zma-MIR_N8b	PCGs	2	0	0	3	0	3	0
zma-MIR398b	UIs	7	16	8	17	11	86	40
zma-MIR159d	UIs	4	5	5	8	7	44	42
zma-MIR_N69a	PCGs	6	4	5	4	0	1	0
zma-MIR_N195a	PCGs	0	1	1	1	0	0	0
zma-MIR_N1e	UIs	3	0	0	3	0	1	3
zma-MIR_N23b	UIs	1	2	3	0	0	0	0
zma-MIR_N9b	UIs	4	10	7	10	7	34	6
zma-MIR171g	TEs	0	1	0	2	0	1	1
zma-MIR_N141a	UIs	0	1	1	0	0	0	0
zma-MIR166i	UIs	8	5	7	7	0	62	104
zma-MIR_N208a	PCGs	2	0	1	1	0	0	0
zma-MIR_N105a	TEs	1	2	1	3	0	5	0
zma-MIR396f	UIs	9	10	7	13	8	80	18
zma-MIR156b	UIs	6	2	6	5	13	80	103
zma-MIR156k	UIs	14	5	7	10	7	103	93
zma-MIR164h	UIs	2	4	0	8	0	11	14
zma-MIR159h	TEs	0	7	4	9	1	15	5
zma-MIR159i	TEs	0	7	4	9	1	15	5
zma-MIR395e	TEs	2	8	2	9	2	1	14
zma-MIR395h	TEs	2	8	2	9	2	1	14
zma-MIR164b	UIs	1	6	3	5	3	62	37
zma-MIR166n	TEs	9	5	5	12	4	63	33
zma-MIR166m	UIs	1	8	5	4	7	69	65
zma-MIR395o	UIs	1	3	0	4	0	0	5
zma-MIR2118e	UIs	0	0	0	2	1	1	1
