Control	Drought	logfc	qvalueVec	Sig
zma-MIR171l	37.9544833333333	49.6382483333333	0.378438120348119	0.0280534349013706	NS
zma-MIR171m	37.9544833333333	49.6382483333333	0.378438120348119	0.0280534349013706	NS
zma-MIR171n	12.3199833333333	11.7826623333333	-0.0594039295970204	0.112317823050558	NS
zma-MIR172a	3.6219	3.294469	-0.106006288939189	0.265976287230244	NS
zma-MIR172b	3.6219	3.294469	-0.106006288939189	0.265976287230244	NS
zma-MIR172c	3.6219	3.294469	-0.106006288939189	0.265976287230244	NS
zma-MIR172d	3.6219	3.294469	-0.106006288939189	0.265976287230244	NS
zma-MIR172e	0	0	0	1	NS
zma-MIR172_N1	0	0	0	1	NS
zma-MIR2275a	0	0	0	1	NS
zma-MIR2275b	0	0.692660666666667	0.75929278033028	0	NS
zma-MIR2275c	0	0	0	1	NS
zma-MIR319a	22.304085	27.280299	0.279214504726331	0.0914174820402915	NS
zma-MIR319b	21.1864633333333	25.7421646666667	0.269436539420137	0.104199042968687	NS
zma-MIR319c	21.0322166666667	26.2641213333333	0.307389008867267	0.107401035643137	NS
zma-MIR319d	21.1864633333333	25.7421646666667	0.269436539420137	0.104199042968687	NS
zma-MIR390a	40.1910083333333	61.566834	0.603068659766452	0.0127241807460139	NS
zma-MIR390b	40.1910083333333	61.566834	0.603068659766452	0.0127241807460139	NS
zma-MIR393a	9.85232333333333	18.7466243333333	0.863602110097255	0.0253126842519394	NS
zma-MIR393b	0	0.645031666666667	0.71811535593817	0	NS
zma-MIR393c	9.85232333333333	18.7466243333333	0.863602110097255	0.0253126842519394	NS
zma-MIR394a	84.64722	101.432648333333	0.258197294344239	0.0268253217779581	NS
zma-MIR394b	84.0031566666667	101.432648333333	0.269087295375522	0.0406598144052928	NS
zma-MIR395a	19.7458366666667	27.4779366666667	0.457022780048621	0.047187940359322	NS
zma-MIR395b	19.7458366666667	27.4779366666667	0.457022780048621	0.047187940359322	NS
zma-MIR395n	19.7458366666667	27.4779366666667	0.457022780048621	0.047187940359322	NS
zma-MIR395f	19.7458366666667	27.4779366666667	0.457022780048621	0.047187940359322	NS
zma-MIR395i	19.7458366666667	27.4779366666667	0.457022780048621	0.047187940359322	NS
zma-MIR396a	139.680775	222.364453666667	0.666974425063471	4.58941308887502e-06	NS
zma-MIR396b	139.680775	222.364453666667	0.666974425063471	4.58941308887502e-06	NS
zma-MIR396c	1185.83753333333	1714.01193066667	0.531096155305403	2.67172890995672e-23	NS
zma-MIR396e	165.947901666667	244.126416	0.554128003747717	2.40950927641117e-05	NS
zma-MIR396f	166.256393333333	246.352782333333	0.564508769084956	3.20215133985055e-05	NS
zma-MIR396d	1185.83753333333	1714.01193066667	0.531096155305403	2.67172890995672e-23	NS
zma-MIR396_N1	139.063791666667	220.721477	0.662664474984047	9.38940623738759e-06	NS
zma-MIR397b	338.172805	328.886743	-0.0400496965449053	0.0253126842519394	NS
zma-MIR398a	168.730295	246.583284	0.544669818729706	3.34001583411487e-05	NS
zma-MIR398b	208.842608333333	279.861662	0.420552062606941	0.000219110409965574	NS
zma-MIR399a	3.78045	11.4291833333333	1.37851317089718	0.0184939475993978	Up
zma-MIR399b	0.736073333333333	11.5232306666667	2.85070699300557	0.00477819813712358	Up
zma-MIR399c	3.78045	11.4291833333333	1.37851317089718	0.0184939475993978	Up
zma-MIR399d	0.359906666666667	35.64042	4.75185649607568	1.57292473308456e-09	Up
zma-MIR399e	40.1100316666667	177.020088666667	2.11447766290771	1.15718245945629e-21	Up
zma-MIR399f	1.0121	5.58091466666667	1.70958610697932	0.0903895081609213	NS
zma-MIR399g	0	0	0	1	NS
zma-MIR399h	3.78045	11.4291833333333	1.37851317089718	0.0184939475993978	Up
zma-MIR399j	39.750125	186.207917333333	2.19976506028325	3.16073093335239e-24	Up
zma-MIR408a	2177.36950166667	2848.57575366667	0.387498456933394	8.87797475256951e-22	NS
zma-MIR408b	2106.94101833333	2785.08514766667	0.402404849991292	6.47312669189886e-23	NS
zma-MIR528b	373.950501666667	384.485481	0.0399763695113758	0.0238018606557795	NS
zma-MIR529	0	0	0	1	NS
zma-MIR827	163.46166	475.977773333333	1.53617074374513	2.47851527440247e-36	Up
zma-MIR_N195a	0	0	0	1	NS
zma-MIR_N48a	0	0	0	1	NS
zma-MIR_N196a	2.18652333333333	3.35960333333333	0.452213649735313	0.277154137001409	NS
zma-MIR2275_N2	0	0	0	1	NS
zma-MIR_N51a	0	0	0	1	NS
zma-MIR_N54a	0.308491666666667	0.281054	-0.0305734458045956	0.788627793963383	NS
zma-MIR_N59a	0.860545	2.62679133333333	0.962968457970411	0.351039870960248	NS
zma-MIR_N65a	1.06620666666667	0	-1.04698456304298	0	Down
zma-MIR_N66a	0	1.84878066666667	1.51034454995474	0	Up
zma-MIR_N16b	0.462736666666667	1.32666	0.669590334341271	0.655867966813949	NS
zma-MIR_N82a	0	0	0	1	NS
zma-MIR_N62a	0	0	0	1	NS
zma-MIR_N17c	0	0	0	1	NS
zma-MIR_N63a	0	0	0	1	NS
zma-MIR_N68a	0.87406	3.49221433333333	1.26125962037027	0.25421299903926	NS
zma-MIR_N77a	0	0	0	1	NS
zma-MIR_N83a	0	0	0	1	NS
zma-MIR_N91a	0	0	0	1	NS
zma-MIR_N103a	49.3296766666667	90.131495	0.856540405355544	0.000253544525109289	NS
zma-MIR_N92a	0	0	0	1	NS
zma-MIR_N96a	0.719813333333333	3.488039	1.38383322780489	0.270640651702324	NS
zma-MIR_N98a	1.23940666666667	1.32497	0.0540955614542981	0.418004404245985	NS
zma-MIR_N99a	0.359906666666667	0	-0.443507639594911	0	NS
zma-MIR_N109a	0.616983333333333	0.841563333333333	0.187626205260661	0.655867966813949	NS
zma-MIR_N113a	0.308491666666667	0.692660666666667	0.371388043943536	0.773644717999134	NS
zma-MIR_N14a	0	0	0	1	NS
zma-MIR_N14b	0	0	0	1	NS
zma-MIR_N14c	0	0	0	1	NS
zma-MIR_N23b	0	0	0	1	NS
zma-MIR_N23a	0	0	0	1	NS
zma-MIR_N121a	5.47331666666667	15.30251	1.33251711911356	0.016815417875559	Up
zma-MIR_N124a	0.644063333333333	0.754613333333333	0.093887260547275	0.655867966813949	NS
zma-MIR_N129a	1.56684666666667	1.66332466666667	0.0532311902426177	0.30969090237064	NS
zma-MIR_N22a	0	0.281054	0.357331290582149	0	NS
zma-MIR_N22b	0	0.281054	0.357331290582149	0	NS
zma-MIR_N130a	0	0.411606666666667	0.497338148735678	0	NS
zma-MIR_N21b	38.4605466666667	155.514659333333	1.98781494018621	3.93625036496504e-18	Up
zma-MIR_N21a	38.4605466666667	155.514659333333	1.98781494018621	3.93625036496504e-18	Up
zma-MIR2275_N4	0	0	0	1	NS
zma-MIR_N146a	0	3.99967133333333	2.32183325861636	0	Up
zma-MIR_N148a	2.58433166666667	5.39788966666667	0.835891973454372	0.113994035281104	NS
zma-MIR_N24a	0	0	0	1	NS
zma-MIR_N24b	0	0	0	1	NS
zma-MIR_N154a	0	0	0	1	NS
zma-MIR_N147a	0.411323333333333	0.481806666666667	0.070308683160946	0.733131372813278	NS
zma-MIR_N17b	0	0.321204666666667	0.40185397053154	0	NS
zma-MIR_N32a	0	0	0	1	NS
zma-MIR2275_N1	0	0	0	1	NS
zma-MIR2275_N3	0	0	0	1	NS
zma-MIR_N39a	0	0	0	1	NS
zma-MIR_N39b	0	0	0	1	NS
zma-MIR_N1a	0	0	0	1	NS
zma-MIR_N1d	0	0	0	1	NS
zma-MIR_N1e	0	0	0	1	NS
zma-MIR_N125a	0	0	0	1	NS
zma-MIR_N34b	0	0	0	1	NS
zma-MIR_N26b	0	0	0	1	NS
zma-MIR_N29a	1.07972	3.031748	0.955016161234267	0.265976287230244	NS
zma-MIR_N29b	1.07972	3.031748	0.955016161234267	0.265976287230244	NS
zma-MIR_N200a	0	0	0	1	NS
zma-MIR_N205a	0	0	0	1	NS
zma-MIR_N208a	0	0	0	1	NS
zma-MIR_N209a	0	0	0	1	NS
zma-MIR399_N3	0	1.00376333333333	1.00271212031488	0	Up
zma-MIR_N157a	0	0	0	1	NS
zma-MIR_N158a	11.47773	35.2833156666667	1.53995080218026	0.00025808109094637	Up
zma-MIR_N159a	0	0	0	1	NS
zma-MIR_N169a	0	0	0	1	NS
zma-MIR_N180a	0	0	0	1	NS
zma-MIR_N173a	0	1.13936666666667	1.09718376761158	0	Up
zma-MIR_N174a	0	0.240903333333333	0.311390733556519	0	NS
zma-MIR_N8b	0	0	0	1	NS
zma-MIR_N8c	0	0	0	1	NS
zma-MIR_N8d	0	0	0	1	NS
zma-MIR_N8a	0	0	0	1	NS
zma-MIR_N176a	0	0	0	1	NS
zma-MIR_N178a	0	0	0	1	NS
zma-MIR_N9c	6.89807	10.23903	0.508945467679373	0.0825088528531859	NS
zma-MIR_N9d	6.89807	10.23903	0.508945467679373	0.0825088528531859	NS
zma-MIR_N9a	6.89807	10.23903	0.508945467679373	0.0825088528531859	NS
zma-MIR_N9b	6.89807	10.23903	0.508945467679373	0.0825088528531859	NS
zma-MIR156a	87.5203233333333	142.330104666667	0.695261035268699	0.000101717954832515	NS
zma-MIR156e	123.769036666667	166.074757666667	0.421233829723951	0.0021340677502786	NS
zma-MIR156f	94.6211883333333	162.151701333333	0.770811791803022	9.3332026612299e-06	NS
zma-MIR156g	94.6211883333333	162.151701333333	0.770811791803022	9.3332026612299e-06	NS
zma-MIR156h	84.10791	134.375591	0.669602507589585	0.000291669917171544	NS
zma-MIR156i	84.10791	134.375591	0.669602507589585	0.000291669917171544	NS
zma-MIR156l	84.10791	134.924401	0.675439341859621	0.000272949061381331	NS
zma-MIR156_N1	483.696035	1086.46581933333	1.16581786976016	1.84557317061903e-53	Up
zma-MIR160f	25.2948733333333	51.058903	0.985363364042885	0.00161151975361547	NS
zma-MIR164f	3.20400666666667	11.2095816666667	1.5381769083088	0.0280534349013706	Up
zma-MIR166f	1365.34221833333	2102.167466	0.622244859334961	2.97845511312402e-36	NS
zma-MIR166h	1312.61975833333	2037.855259	0.634211628019182	2.065489422574e-36	NS
zma-MIR166l	252.206725	448.218148	0.827100490185277	6.54277746353421e-14	NS
zma-MIR167e	377.315846666667	687.987614	0.86488683929286	7.37848355419142e-22	NS
zma-MIR167f	377.421373333333	682.696316333333	0.853362077538989	2.47138573926466e-21	NS
zma-MIR169f	0	0	0	1	NS
zma-MIR169l	0	0	0	1	NS
zma-MIR169p	0	0	0	1	NS
zma-MIR169q	0	0	0	1	NS
zma-MIR171b	11.25372	15.723223	0.448633128141907	0.107401035643137	NS
zma-MIR171b1	11.25372	15.723223	0.448633128141907	0.107401035643137	NS
zma-MIR171c	0	0	0	1	NS
zma-MIR171h	27.2751966666667	35.8344433333333	0.381518380979342	0.0622515561756414	NS
zma-MIR171j	11.25372	15.723223	0.448633128141907	0.107401035643137	NS
zma-MIR171k	27.2751966666667	35.8344433333333	0.381518380979342	0.0622515561756414	NS
zma-MIR2118c	0	0	0	1	NS
zma-MIR2118a	0	0	0	1	NS
zma-MIR2118g	0	0	0	1	NS
zma-MIR395g	19.7458366666667	27.4779366666667	0.457022780048621	0.047187940359322	NS
zma-MIR395k	0	0	0	1	NS
zma-MIR395d	19.7458366666667	27.4779366666667	0.457022780048621	0.047187940359322	NS
zma-MIR399i	39.750125	174.716354	2.10837207997612	8.82356741847415e-22	Up
zma-MIR399_N1	0.359906666666667	3.69386666666667	1.78726922185057	0.30969090237064	NS
zma-MIR399_N2	0.359906666666667	3.69386666666667	1.78726922185057	0.30969090237064	NS
zma-MIR_N50a	0	0	0	1	NS
zma-MIR_N53a	0	0	0	1	NS
zma-MIR_N56a	0	0	0	1	NS
zma-MIR_N58a	0	0	0	1	NS
zma-MIR169_N3	0	1.17012766666667	1.11777991762325	0	Up
zma-MIR_N12b	0	0	0	1	NS
zma-MIR_N12c	0	0	0	1	NS
zma-MIR_N12a	0	0	0	1	NS
zma-MIR_N42a	0	0	0	1	NS
zma-MIR_N46a	0	0	0	1	NS
zma-MIR_N47a	0	0	0	1	NS
zma-MIR_N49a	0	0.321204666666667	0.40185397053154	0	NS
zma-MIR_N52a	0.552053333333333	1.075818	0.419501825283949	0.655867966813949	NS
zma-MIR_N57a	0	0	0	1	NS
zma-MIR_N60a	0	0	0	1	NS
zma-MIR_N13c	0	0	0	1	NS
zma-MIR_N13a	0	0	0	1	NS
zma-MIR_N13b	0	0	0	1	NS
zma-MIR_N69a	2.29479	3.87670333333333	0.565719695809938	0.233985810789481	NS
zma-MIR_N70a	0	0	0	1	NS
zma-MIR_N73a	0	0	0	1	NS
zma-MIR_N75a	0	0	0	1	NS
zma-MIR_N79a	0	0	0	1	NS
zma-MIR_N81a	0	0.813113333333333	0.858469107281572	0	NS
zma-MIR_N16a	0.462736666666667	1.32666	0.669590334341271	0.655867966813949	NS
zma-MIR_N16c	0.462736666666667	1.32666	0.669590334341271	0.655867966813949	NS
zma-MIR_N61a	0	0	0	1	NS
zma-MIR_N64a	0	0	0	1	NS
zma-MIR_N71a	0	0	0	1	NS
zma-MIR_N72a	0	1.39037333333333	1.25723595882783	0	Up
zma-MIR_N74a	3.57748	5.14318466666667	0.424433169372309	0.169002377146182	NS
zma-MIR_N10b	1.34223666666667	1.54087333333333	0.117437599022118	0.36813607738605	NS
zma-MIR_N10a	1.34223666666667	1.54087333333333	0.117437599022118	0.36813607738605	NS
zma-MIR_N10c	1.34223666666667	1.54087333333333	0.117437599022118	0.36813607738605	NS
zma-MIR_N76a	0	0	0	1	NS
zma-MIR_N80a	0	0	0	1	NS
zma-MIR_N88a	0	0	0	1	NS
zma-MIR_N102a	0.308491666666667	0	-0.387904736386744	0	NS
zma-MIR_N84a	0	0	0	1	NS
zma-MIR_N15b	12.2755566666667	4.71943633333333	-1.21482747951884	0.0251906163521432	Down
zma-MIR_N15c	12.2755566666667	4.71943633333333	-1.21482747951884	0.0251906163521432	Down
zma-MIR_N15a	12.2755566666667	4.71943633333333	-1.21482747951884	0.0251906163521432	Down
zma-MIR_N87a	0	0	0	1	NS
zma-MIR_N89a	0	0	0	1	NS
zma-MIR_N90a	0	0	0	1	NS
zma-MIR_N93a	0	0.281054	0.357331290582149	0	NS
zma-MIR_N94a	0	0	0	1	NS
zma-MIR_N95a	0.552053333333333	1.166871	0.481435134422337	0.655867966813949	NS
zma-MIR_N97a	0	0	0	1	NS
zma-MIR_N11b	0	0	0	1	NS
zma-MIR_N11c	0	0	0	1	NS
zma-MIR_N11a	0	0	0	1	NS
zma-MIR_N100a	0	0	0	1	NS
zma-MIR_N101a	0	0	0	1	NS
zma-MIR_N104a	4.31080833333333	8.378034	0.820354045932961	0.107866637768648	NS
zma-MIR_N106a	0	0	0	1	NS
zma-MIR_N108a	0.822645	1.44887133333333	0.42608338264003	0.515808176629779	NS
zma-MIR_N110a	0.308491666666667	0	-0.387904736386744	0	NS
zma-MIR_N115a	0	0	0	1	NS
zma-MIR_N116a	0	0	0	1	NS
zma-MIR_N123a	1.75086333333333	3.57045666666667	0.732453855991138	0.138426928724198	NS
zma-MIR_N105a	0	0	0	1	NS
zma-MIR_N107a	0	0	0	1	NS
zma-MIR_N111a	0	0	0	1	NS
zma-MIR_N112a	0	0	0	1	NS
zma-MIR_N114a	9.67445666666667	24.919197	1.27985838486143	0.00372621826700304	Up
zma-MIR_N117a	0	0	0	1	NS
zma-MIR_N118a	0	0	0	1	NS
zma-MIR_N126a	0	0	0	1	NS
zma-MIR_N127a	0	0	0	1	NS
zma-MIR_N128a	0	0	0	1	NS
zma-MIR_N136a	1.47214666666667	4.73979466666667	1.21523478987851	0.101386406039254	NS
zma-MIR_N138a	1.90236666666667	3.11756166666667	0.504560464742662	0.152800891012596	NS
zma-MIR_N140a	0	0	0	1	NS
zma-MIR_N142a	0	0	0	1	NS
zma-MIR_N143a	0.616983333333333	0.441656666666667	-0.165577183795917	0.716442464318959	NS
zma-MIR_N145a	0	0	0	1	NS
zma-MIR_N131a	0	0	0	1	NS
zma-MIR_N132a	0	0	0	1	NS
zma-MIR_N133a	0	0	0	1	NS
zma-MIR_N17a	0	0	0	1	NS
zma-MIR_N137a	0	0	0	1	NS
zma-MIR_N139a	1.89698	4.84465233333333	1.01256748455667	0.0747855560087896	NS
zma-MIR_N141a	0	0	0	1	NS
zma-MIR_N144a	0	0	0	1	NS
zma-MIR_N149a	0.359906666666667	1.40500566666667	0.822532653677856	0.683201553804443	NS
zma-MIR_N152a	0	0	0	1	NS
zma-MIR_N153a	0	0	0	1	NS
zma-MIR_N156a	0	0	0	1	NS
zma-MIR_N150a	0	0	0	1	NS
zma-MIR_N36b	0	0	0	1	NS
zma-MIR_N36a	0	0	0	1	NS
zma-MIR_N32b	0	0	0	1	NS
zma-MIR_N28b	9.87028333333333	22.138253	1.08989039660065	0.00898233988138402	Up
zma-MIR_N28a	9.87028333333333	22.138253	1.08989039660065	0.00898233988138402	Up
zma-MIR_N20b	3.73711166666667	8.26948066666667	0.968480831878662	0.0610955892658308	NS
zma-MIR_N20a	3.73711166666667	8.26948066666667	0.968480831878662	0.0610955892658308	NS
zma-MIR_N19a	0	0	0	1	NS
zma-MIR_N19b	0	0	0	1	NS
zma-MIR_N37b	0	0	0	1	NS
zma-MIR_N37a	0	0	0	1	NS
zma-MIR_N18b	4.681535	9.69629733333333	0.912758809397767	0.0610955892658308	NS
zma-MIR_N18a	4.681535	9.69629733333333	0.912758809397767	0.0610955892658308	NS
zma-MIR_N1h	0	0	0	1	NS
zma-MIR_N1i	0	0	0	1	NS
zma-MIR_N1j	0	0	0	1	NS
zma-MIR_N1b	0	0	0	1	NS
zma-MIR_N1c	0	0	0	1	NS
zma-MIR_N1f	0	0	0	1	NS
zma-MIR_N1g	0	0	0	1	NS
zma-MIR_N35a	0	0.361356666666667	0.445045093160424	0	NS
zma-MIR_N35b	0	0.361356666666667	0.445045093160424	0	NS
zma-MIR_N135a	0	0	0	1	NS
zma-MIR_N34a	0	0	0	1	NS
zma-MIR_N33a	7.94239333333333	26.2999163333333	1.61016362001292	0.00044141732660724	Up
zma-MIR_N33b	7.94239333333333	26.2999163333333	1.61016362001292	0.00044141732660724	Up
zma-MIR_N31b	0	0	0	1	NS
zma-MIR_N31a	0	0	0	1	NS
zma-MIR_N26a	0	0	0	1	NS
zma-MIR_N25a	0	0	0	1	NS
zma-MIR_N25b	0	0	0	1	NS
zma-MIR_N30a	0	0	0	1	NS
zma-MIR_N30b	0	0	0	1	NS
zma-MIR_N41a	1.49104333333333	7.80367333333333	1.82135549555571	0.0240713029164865	Up
zma-MIR_N40a	0	0	0	1	NS
zma-MIR_N202a	0	0	0	1	NS
zma-MIR_N203a	0	0	0	1	NS
zma-MIR_N204a	0	0	0	1	NS
zma-MIR_N206a	0	0	0	1	NS
zma-MIR_N201a	0	0.313103333333333	0.39298045211931	0	NS
zma-MIR_N4f	0.411323333333333	0.926913333333333	0.449243138708761	0.706461325855705	NS
zma-MIR_N4e	0.411323333333333	0.926913333333333	0.449243138708761	0.706461325855705	NS
zma-MIR_N4h	0.411323333333333	0.926913333333333	0.449243138708761	0.706461325855705	NS
zma-MIR_N4g	0.411323333333333	0.926913333333333	0.449243138708761	0.706461325855705	NS
zma-MIR_N4b	0.411323333333333	0.926913333333333	0.449243138708761	0.706461325855705	NS
zma-MIR_N4a	0.411323333333333	0.926913333333333	0.449243138708761	0.706461325855705	NS
zma-MIR_N4d	0.411323333333333	0.926913333333333	0.449243138708761	0.706461325855705	NS
zma-MIR_N4c	0.411323333333333	0.926913333333333	0.449243138708761	0.706461325855705	NS
zma-MIR_N207a	0.411323333333333	1.80198	0.989398111748033	0.611516275202493	NS
zma-MIR2118_N1	0	0	0	1	NS
zma-MIR_N161a	0	0	0	1	NS
zma-MIR_N163a	0.828083333333333	1.81367666666667	0.622124713692872	0.462997928128837	NS
zma-MIR_N164a	0	0	0	1	NS
zma-MIR_N5d	2.15944	0.730573333333333	-0.868418791028605	0.439862968080969	NS
zma-MIR_N5e	2.15944	0.730573333333333	-0.868418791028605	0.439862968080969	NS
zma-MIR_N5a	2.15944	0.730573333333333	-0.868418791028605	0.439862968080969	NS
zma-MIR_N5b	2.15944	0.730573333333333	-0.868418791028605	0.439862968080969	NS
zma-MIR_N5c	2.15944	0.730573333333333	-0.868418791028605	0.439862968080969	NS
zma-MIR_N168a	0	0	0	1	NS
zma-MIR_N160a	0	0.76286	0.817917905556751	0	NS
zma-MIR_N165a	0	0.240903333333333	0.311390733556519	0	NS
zma-MIR_N166a	0	0	0	1	NS
zma-MIR_N43a	0	0	0	1	NS
zma-MIR_N167a	0.6684	3.68719233333333	1.49025877795788	0.265005132877278	NS
zma-MIR_N44a	0	0	0	1	NS
zma-MIR_N6c	0	0	0	1	NS
zma-MIR_N6d	0	0	0	1	NS
zma-MIR_N6b	0	0	0	1	NS
zma-MIR_N6e	0	0	0	1	NS
zma-MIR_N6a	0	0	0	1	NS
zma-MIR_N171a	0	0	0	1	NS
zma-MIR_N45a	0.359906666666667	1.48742466666667	0.871145193730856	0.670468022950197	NS
zma-MIR_N181a	1.07972	1.667709	0.359211996176206	0.420338094414742	NS
zma-MIR_N170a	0	0	0	1	NS
zma-MIR_N175a	0	0	0	1	NS
zma-MIR_N182a	0	0	0	1	NS
zma-MIR_N185a	0	0	0	1	NS
zma-MIR_N187a	4.50564833333333	4.263236	-0.0649623766987846	0.25421299903926	NS
zma-MIR_N188a	0.6684	1.88211666666667	0.78866351894136	0.502758824339083	NS
zma-MIR_N191a	0	0	0	1	NS
zma-MIR_N192a	0	0	0	1	NS
zma-MIR_N197a	0	0	0	1	NS
zma-MIR_N198a	0	0	0	1	NS
zma-MIR_N199a	0	0	0	1	NS
zma-MIR_N183a	0	0	0	1	NS
zma-MIR_N186a	0	0	0	1	NS
zma-MIR_N190a	0.616983333333333	0.995516666666667	0.303457519712888	0.655867966813949	NS
zma-MIR_N193a	0	0	0	1	NS
zma-MIR_N194a	8.94905833333333	10.448102	0.202476543478776	0.104555776522165	NS
zma-MIR159h	7.20301	7.92313	0.121396471307809	0.203341565194733	NS
zma-MIR159i	7.20301	7.92313	0.121396471307809	0.203341565194733	NS
zma-MIR166m	955.177315	1606.909688	0.749836292731344	3.4711239155899e-38	NS
zma-MIR166n	706.37998	1087.78496166667	0.622161751420112	8.29419278508987e-20	NS
zma-MIR395e	19.7458366666667	27.4779366666667	0.457022780048621	0.047187940359322	NS
zma-MIR395h	19.7458366666667	27.4779366666667	0.457022780048621	0.047187940359322	NS
zma-MIR395o	0.514153333333333	0.813113333333333	0.259957797573215	0.694393115521944	NS
zma-MIR156b	452.708786666667	1031.321363	1.18605364879033	3.20040553546996e-52	Up
zma-MIR156k	47.3320833333333	86.887892	0.862683241286047	0.000284896961803816	NS
zma-MIR164b	18.8678566666667	51.141294	1.39199014310068	3.72908959163221e-05	Up
zma-MIR164h	2.21086	8.38193733333333	1.54692610237317	0.047187940359322	Up
zma-MIR2118e	0	0	0	1	NS
